crop_type,growth_stage,temperature,humidity,soil_ph,soil_nutrients,market_price,days_to_harvest,harvest_now,temperature_range,humidity_range,soil_ph_range,soil_nutrients_range,market_price_range,days_to_harvest_range
rice,vegetative,28.0,70.0,6.8,44.0,118.0,90,0,high,high,neutral,moderate,high,long
corn,vegetative,25.0,60.0,6.5,60.0,80.0,60,0,medium,high,neutral,rich,low,medium
wheat,flowering,30.0,72.0,7.1,60.0,120.0,30,0,high,very high,slightly alkaline,rich,high,soon
rice,flowering,31.0,75.0,7.1,45.0,120.0,30,0,very high,very high,slightly alkaline,moderate,high,soon
corn,flowering,29.0,70.0,7.0,55.0,110.0,30,0,high,high,slightly alkaline,moderate,high,soon
wheat,maturation,26.0,62.0,6.7,40.0,80.0,4,1,high,high,neutral,poor,low,very soon
rice,maturation,31.0,75.0,7.2,60.0,130.0,7,1,very high,very high,slightly alkaline,rich,very high,very soon
corn,maturation,26.0,62.0,6.7,40.0,80.0,2,1,high,high,neutral,poor,low,very soon
rice,flowering,30.0,75.0,7.0,43.0,117.0,30,0,high,very high,slightly alkaline,moderate,high,soon
rice,flowering,31.0,75.0,7.1,45.0,120.0,30,0,very high,very high,slightly alkaline,moderate,high,soon
corn,flowering,29.0,70.0,7.0,55.0,110.0,30,0,high,high,slightly alkaline,moderate,high,soon
corn,flowering,28.0,68.0,6.9,45.0,90.0,30,0,high,high,slightly alkaline,moderate,medium,soon
wheat,maturation,31.0,75.0,7.2,60.0,130.0,8,1,very high,very high,slightly alkaline,rich,very high,very soon
wheat,maturation,26.0,62.0,6.7,40.0,80.0,4,1,high,high,neutral,poor,low,very soon
rice,maturation,31.0,75.0,7.2,60.0,130.0,7,1,very high,very high,slightly alkaline,rich,very high,very soon
rice,maturation,26.0,62.0,6.7,40.0,80.0,3,1,high,high,neutral,poor,low,very soon
corn,maturation,31.0,75.0,7.2,60.0,130.0,9,1,very high,very high,slightly alkaline,rich,very high,very soon
corn,maturation,26.0,62.0,6.7,40.0,80.0,2,1,high,high,neutral,poor,low,very soon
wheat,vegetative,29.0,70.0,7.0,55.0,110.0,110,0,high,high,slightly alkaline,moderate,high,very long
rice,vegetative,29.0,72.0,6.9,42.0,115.0,80,0,high,very high,slightly alkaline,moderate,medium,long
corn,vegetative,25.0,60.0,6.5,60.0,80.0,60,0,medium,high,neutral,rich,low,medium
corn,vegetative,27.0,65.0,6.8,50.0,100.0,50,0,high,high,neutral,moderate,medium,medium
wheat,flowering,30.0,72.0,7.1,60.0,120.0,30,0,high,very high,slightly alkaline,rich,high,soon
wheat,flowering,28.0,68.0,6.9,45.0,90.0,30,0,high,high,slightly alkaline,moderate,medium,soon
rice,flowering,30.0,75.0,7.0,43.0,117.0,30,0,high,very high,slightly alkaline,moderate,high,soon
rice,flowering,31.0,75.0,7.1,45.0,120.0,30,0,very high,very high,slightly alkaline,moderate,high,soon
corn,flowering,29.0,70.0,7.0,55.0,110.0,30,0,high,high,slightly alkaline,moderate,high,soon
corn,flowering,28.0,68.0,6.9,45.0,90.0,30,0,high,high,slightly alkaline,moderate,medium,soon
wheat,maturation,31.0,75.0,7.2,60.0,130.0,8,1,very high,very high,slightly alkaline,rich,very high,very soon
wheat,maturation,26.0,62.0,6.7,40.0,80.0,4,1,high,high,neutral,poor,low,very soon
rice,maturation,31.0,75.0,7.2,60.0,130.0,7,1,very high,very high,slightly alkaline,rich,very high,very soon
rice,maturation,26.0,62.0,6.7,40.0,80.0,3,1,high,high,neutral,poor,low,very soon
corn,maturation,31.0,75.0,7.2,60.0,130.0,9,1,very high,very high,slightly alkaline,rich,very high,very soon
corn,maturation,26.0,62.0,6.7,40.0,80.0,2,1,high,high,neutral,poor,low,very soon
wheat,vegetative,27.0,65.0,6.8,50.0,100.0,120,0,high,high,neutral,moderate,medium,very long
wheat,vegetative,29.0,70.0,7.0,55.0,110.0,110,0,high,high,slightly alkaline,moderate,high,very long
rice,vegetative,28.0,70.0,6.8,44.0,118.0,90,0,high,high,neutral,moderate,high,long
rice,vegetative,29.0,72.0,6.9,42.0,115.0,80,0,high,very high,slightly alkaline,moderate,medium,long
corn,vegetative,25.0,60.0,6.5,60.0,80.0,60,0,medium,high,neutral,rich,low,medium
corn,vegetative,27.0,65.0,6.8,50.0,100.0,50,0,high,high,neutral,moderate,medium,medium
wheat,flowering,30.0,72.0,7.1,60.0,120.0,30,0,high,very high,slightly alkaline,rich,high,soon
wheat,flowering,28.0,68.0,6.9,45.0,90.0,30,0,high,high,slightly alkaline,moderate,medium,soon
rice,flowering,30.0,75.0,7.0,43.0,117.0,30,0,high,very high,slightly alkaline,moderate,high,soon
rice,flowering,31.0,75.0,7.1,45.0,120.0,30,0,very high,very high,slightly alkaline,moderate,high,soon
corn,flowering,29.0,70.0,7.0,55.0,110.0,30,0,high,high,slightly alkaline,moderate,high,soon
corn,flowering,28.0,68.0,6.9,45.0,90.0,30,0,high,high,slightly alkaline,moderate,medium,soon
wheat,maturation,31.0,75.0,7.2,60.0,130.0,8,1,very high,very high,slightly alkaline,rich,very high,very soon
wheat,maturation,26.0,62.0,6.7,40.0,80.0,4,1,high,high,neutral,poor,low,very soon
rice,maturation,31.0,75.0,7.2,60.0,130.0,7,1,very high,very high,slightly alkaline,rich,very high,very soon
rice,maturation,26.0,62.0,6.7,40.0,80.0,3,1,high,high,neutral,poor,low,very soon
corn,maturation,31.0,75.0,7.2,60.0,130.0,9,1,very high,very high,slightly alkaline,rich,very high,very soon
corn,maturation,26.0,62.0,6.7,40.0,80.0,2,1,high,high,neutral,poor,low,very soon
wheat,vegetative,27.0,65.0,6.8,50.0,100.0,120,0
wheat,vegetative,29.0,70.0,7.0,55.0,110.0,110,0
rice,vegetative,28.0,70.0,6.8,44.0,118.0,90,0
rice,vegetative,29.0,72.0,6.9,42.0,115.0,80,0
corn,vegetative,25.0,60.0,6.5,60.0,80.0,60,0
corn,vegetative,27.0,65.0,6.8,50.0,100.0,50,0
# Flowering stage (around 30 days to harvest)
wheat,flowering,30.0,72.0,7.1,60.0,120.0,32,0
wheat,flowering,28.0,68.0,6.9,45.0,90.0,28,0
rice,flowering,30.0,75.0,7.0,43.0,117.0,31,0
rice,flowering,31.0,75.0,7.1,45.0,120.0,29,0
corn,flowering,29.0,70.0,7.0,55.0,110.0,30,0
corn,flowering,28.0,68.0,6.9,45.0,90.0,30,0
wheat,maturation,31.0,75.0,7.2,60.0,130.0,8,1
wheat,maturation,26.0,62.0,6.7,40.0,80.0,4,1
rice,maturation,31.0,75.0,7.2,60.0,130.0,7,1
rice,maturation,26.0,62.0,6.7,40.0,80.0,3,1
corn,maturation,31.0,75.0,7.2,60.0,130.0,9,1
corn,maturation,26.0,62.0,6.7,40.0,80.0,2,1
corn,maturation,22.4,53.0,6.3,55.0,88.0,11,1
wheat,flowering,24.6,58.0,6.5,50.0,104.0,11,0
rice,maturation,28.6,68.0,6.9,42.0,124.0,2,1
corn,vegetative,20.6,48.0,6.0,59.0,83.0,26,0
wheat,maturation,26.6,61.0,6.7,45.5,105.0,6,1
rice,flowering,27.6,66.0,6.8,43.0,113.0,8,0
corn,maturation,23.6,54.0,6.4,53.0,87.0,9,1
wheat,vegetative,23.6,56.0,6.6,52.0,98.0,23,0
rice,maturation,29.6,70.0,7.1,38.0,127.0,1,1
corn,flowering,21.6,51.0,6.2,56.0,85.0,20,0
wheat,maturation,25.2,59.0,6.8,47.0,113.0,5,1
rice,vegetative,26.2,63.0,6.7,44.0,116.0,13,0
corn,maturation,22.2,52.0,6.3,54.0,86.0,12,1
wheat,flowering,24.4,57.0,6.5,49.0,105.0,10,0
rice,maturation,28.4,67.0,6.9,41.0,125.0,3,1
corn,vegetative,20.4,47.0,6.1,58.0,82.0,25,0
wheat,maturation,26.8,60.0,6.7,46.5,104.0,7,1
rice,flowering,27.4,65.0,6.8,42.5,112.0,7,0
corn,maturation,23.4,53.0,6.4,52.0,85.0,10,1
wheat,vegetative,23.4,55.0,6.6,51.0,100.0,20,0
rice,maturation,29.4,69.0,7.0,39.0,128.0,0,1
corn,flowering,21.4,50.0,6.2,55.0,84.0,21,0
wheat,maturation,25.0,58.0,6.8,46.0,114.0,6,1
rice,vegetative,26.0,62.0,6.7,43.0,115.0,12,0
corn,maturation,22.0,51.0,6.3,53.0,84.0,13,1
wheat,flowering,24.0,56.0,6.5,48.0,106.0,9,0
rice,maturation,28.0,66.0,6.9,40.0,126.0,4,1
corn,vegetative,20.2,46.0,6.0,57.0,81.0,24,0
wheat,maturation,27.0,59.0,6.7,45.0,103.0,8,1
rice,flowering,27.0,64.0,6.8,41.0,111.0,6,0
corn,maturation,23.0,52.0,6.4,51.0,83.0,11,1
wheat,vegetative,23.2,54.0,6.6,50.0,101.0,19,0
rice,maturation,29.0,68.0,6.9,37.0,129.0,2,1
corn,flowering,21.0,49.0,6.1,54.0,83.0,22,0
wheat,maturation,24.8,57.0,6.8,45.5,115.0,7,1
rice,vegetative,25.8,61.0,6.7,42.0,114.0,11,0
corn,maturation,21.8,50.0,6.3,52.0,82.0,14,1
wheat,flowering,23.8,55.0,6.5,47.0,107.0,8,0
rice,maturation,27.8,65.0,6.9,39.0,127.0,5,1
corn,vegetative,20.0,45.0,6.0,56.0,80.0,23,0
wheat,maturation,26.5,58.0,6.7,44.0,102.0,9,1
rice,flowering,26.5,63.0,6.8,40.0,110.0,5,0
corn,maturation,22.5,51.0,6.4,50.0,81.0,12,1
wheat,vegetative,23.0,53.0,6.6,49.0,102.0,18,0
rice,maturation,28.5,67.0,6.8,36.0,130.0,3,1
corn,flowering,20.5,48.0,6.1,53.0,82.0,23,0
wheat,maturation,24.5,56.0,6.8,44.5,116.0,8,1
rice,vegetative,25.5,60.0,6.7,41.0,113.0,10,0
corn,maturation,21.5,49.0,6.3,51.0,80.0,15,1
wheat,flowering,23.5,54.0,6.5,46.0,108.0,7,0
rice,maturation,27.5,64.0,6.9,38.0,128.0,6,1
corn,vegetative,19.5,44.0,6.0,55.0,79.0,22,0
wheat,maturation,26.0,57.0,6.7,43.0,101.0,10,1
rice,flowering,26.0,62.0,6.8,39.0,109.0,4,0
corn,maturation,22.0,50.0,6.4,49.0,79.0,13,1
wheat,vegetative,22.5,52.0,6.6,48.0,103.0,17,0
rice,maturation,28.0,66.0,6.7,35.0,131.0,4,1
corn,flowering,20.0,47.0,6.1,52.0,81.0,24,0
wheat,maturation,24.0,55.0,6.8,43.5,117.0,9,1
rice,vegetative,25.0,59.0,6.7,40.0,112.0,9,0
corn,maturation,21.0,48.0,6.3,50.0,78.0,16,1
wheat,flowering,23.0,53.0,6.5,45.0,109.0,6,0
rice,maturation,27.0,63.0,6.9,37.0,129.0,7,1
corn,vegetative,19.0,43.0,6.0,54.0,78.0,21,0
wheat,maturation,25.5,56.0,6.7,42.0,100.0,11,1
rice,flowering,25.5,61.0,6.8,38.0,108.0,3,0
corn,maturation,21.5,49.0,6.4,48.0,77.0,14,1
wheat,vegetative,22.0,51.0,6.6,47.0,104.0,16,0
rice,maturation,27.5,65.0,6.6,34.0,132.0,5,1
corn,flowering,19.5,46.0,6.1,51.0,80.0,25,0
